TurbID,DATATIME,"ROUND(A.POWER,0)",YD15
1,2020-02-21 00:00:00,-0.074163035,0.50669837
1,2020-02-21 00:15:00,0.23352763,0.06863588
1,2020-02-21 00:30:00,0.046570234,0.053418107
1,2020-02-21 00:45:00,0.20209827,0.0479507
1,2020-02-21 01:00:00,0.20586026,0.10459445
1,2020-02-21 01:15:00,0.3659003,0.36199504
1,2020-02-21 01:30:00,0.2819054,-0.044769727
1,2020-02-21 01:45:00,0.22664562,0.640421
1,2020-02-21 02:00:00,0.31203312,-0.05806797
1,2020-02-21 02:15:00,-0.3482516,-0.32394022
1,2020-02-21 02:30:00,-0.17210048,0.11671392
1,2020-02-21 02:45:00,-0.07132148,0.17374882
1,2020-02-21 03:00:00,0.25464696,0.3578269
1,2020-02-21 03:15:00,0.75036955,0.048456952
1,2020-02-21 03:30:00,0.1445002,0.008788265
1,2020-02-21 03:45:00,0.036835678,0.2474029
1,2020-02-21 04:00:00,0.27139914,0.15745944
1,2020-02-21 04:15:00,0.2873337,-0.030969545
1,2020-02-21 04:30:00,-0.032288305,0.23373611
1,2020-02-21 04:45:00,-0.13453934,0.38813457
1,2020-02-21 05:00:00,-0.050347313,0.37888342
1,2020-02-21 05:15:00,-0.04925307,-0.049500637
1,2020-02-21 05:30:00,0.16250563,0.6122469
1,2020-02-21 05:45:00,-0.441398,0.40196872
1,2020-02-21 06:00:00,0.11548096,-0.5371842
1,2020-02-21 06:15:00,0.04276628,-0.30587006
1,2020-02-21 06:30:00,0.37302127,0.1634728
1,2020-02-21 06:45:00,0.05152843,0.42008084
1,2020-02-21 07:00:00,0.36266246,0.03299758
1,2020-02-21 07:15:00,0.734264,0.04200033
1,2020-02-21 07:30:00,-0.003242612,-0.210574
1,2020-02-21 07:45:00,0.059731334,0.06282882
1,2020-02-21 08:00:00,-0.08911649,0.32246017
1,2020-02-21 08:15:00,0.14384076,0.33275908
1,2020-02-21 08:30:00,0.068347566,0.37077457
1,2020-02-21 08:45:00,0.15725687,0.29213545
1,2020-02-21 09:00:00,0.16286942,0.3085377
1,2020-02-21 09:15:00,0.45323667,-0.17495847
1,2020-02-21 09:30:00,-0.33430204,0.32710728
1,2020-02-21 09:45:00,-0.3189327,-0.478833
1,2020-02-21 10:00:00,0.2712825,0.16320845
1,2020-02-21 10:15:00,0.049053602,0.09188395
1,2020-02-21 10:30:00,0.06966815,-0.09975795
1,2020-02-21 10:45:00,-0.12529433,0.041634083
1,2020-02-21 11:00:00,0.10393358,0.11074926
1,2020-02-21 11:15:00,-0.095734365,-0.18084218
1,2020-02-21 11:30:00,0.03552241,0.4601502
1,2020-02-21 11:45:00,0.3092469,0.16490273
1,2020-02-21 12:00:00,0.5836883,0.23575531
1,2020-02-21 12:15:00,0.2507482,-0.106939636
1,2020-02-21 12:30:00,0.34197092,0.29614314
1,2020-02-21 12:45:00,0.12030729,-0.08881524
1,2020-02-21 13:00:00,0.0066017285,0.3898088
1,2020-02-21 13:15:00,-0.29946423,0.26244313
1,2020-02-21 13:30:00,0.055209123,0.11599576
1,2020-02-21 13:45:00,-0.31858638,0.1897658
1,2020-02-21 14:00:00,-0.040429257,0.10565386
1,2020-02-21 14:15:00,0.09357708,-0.06770365
1,2020-02-21 14:30:00,0.02309484,0.21686517
1,2020-02-21 14:45:00,0.01093296,0.23285332
1,2020-02-21 15:00:00,0.21925187,-0.22107692
1,2020-02-21 15:15:00,0.1556243,0.28200585
1,2020-02-21 15:30:00,-0.0026191175,0.3860548
1,2020-02-21 15:45:00,-0.050871022,0.3887726
1,2020-02-21 16:00:00,-0.0039098784,-0.045739777
1,2020-02-21 16:15:00,-0.11200067,0.24259573
1,2020-02-21 16:30:00,-0.16759446,-0.021099411
1,2020-02-21 16:45:00,-0.23487177,0.09974914
1,2020-02-21 17:00:00,-0.26791754,-0.03964804
1,2020-02-21 17:15:00,-0.109743945,0.09267754
1,2020-02-21 17:30:00,0.15870127,-0.050674453
1,2020-02-21 17:45:00,-0.08830757,-0.14524029
1,2020-02-21 18:00:00,-0.12984076,0.44554538
1,2020-02-21 18:15:00,0.16541798,-0.095393986
1,2020-02-21 18:30:00,0.1938181,0.08138781
1,2020-02-21 18:45:00,0.3540735,0.025981009
1,2020-02-21 19:00:00,0.03822838,0.40314165
1,2020-02-21 19:15:00,-0.067275316,0.11043917
1,2020-02-21 19:30:00,-0.26154009,0.3531389
1,2020-02-21 19:45:00,0.22573557,0.22326413
1,2020-02-21 20:00:00,0.28681782,0.053403407
1,2020-02-21 20:15:00,0.26167345,0.037767783
1,2020-02-21 20:30:00,0.06397995,0.5556219
1,2020-02-21 20:45:00,0.09714906,0.020574741
1,2020-02-21 21:00:00,-0.07503604,0.13892648
1,2020-02-21 21:15:00,0.09590244,0.11788188
1,2020-02-21 21:30:00,-0.10143091,0.32957077
1,2020-02-21 21:45:00,-0.0801307,0.11980746
1,2020-02-21 22:00:00,0.25640118,0.1529201
1,2020-02-21 22:15:00,-0.05595106,-0.113060646
1,2020-02-21 22:30:00,0.4009618,0.20011988
1,2020-02-21 22:45:00,0.06308358,-0.10985345
1,2020-02-21 23:00:00,-0.12075229,0.47501627
1,2020-02-21 23:15:00,0.57463586,-0.14661585
1,2020-02-21 23:30:00,-0.04875876,-0.0022056848
1,2020-02-21 23:45:00,0.112237245,-0.14003052
