TurbID,DATATIME,"ROUND(A.POWER,0)",YD15
1,2020-02-21 00:00:00,95231.0,98075.0
1,2020-02-21 00:15:00,94835.0,97964.0
1,2020-02-21 00:30:00,95108.0,97986.0
1,2020-02-21 00:45:00,95615.0,97779.0
1,2020-02-21 01:00:00,95611.0,98272.0
1,2020-02-21 01:15:00,95454.0,98027.0
1,2020-02-21 01:30:00,95387.0,97781.0
1,2020-02-21 01:45:00,95509.0,98086.0
1,2020-02-21 02:00:00,95591.0,97972.0
1,2020-02-21 02:15:00,95814.0,98322.0
1,2020-02-21 02:30:00,95498.0,97805.0
1,2020-02-21 02:45:00,95681.0,98553.0
1,2020-02-21 03:00:00,95983.0,98330.0
1,2020-02-21 03:15:00,95912.0,98106.0
1,2020-02-21 03:30:00,95716.0,98233.0
1,2020-02-21 03:45:00,95494.0,97866.0
1,2020-02-21 04:00:00,95654.0,97988.0
1,2020-02-21 04:15:00,95625.0,98327.0
1,2020-02-21 04:30:00,95093.0,98177.0
1,2020-02-21 04:45:00,95475.0,97956.0
1,2020-02-21 05:00:00,94122.0,97893.0
1,2020-02-21 05:15:00,94607.0,98086.0
1,2020-02-21 05:30:00,95229.0,98299.0
1,2020-02-21 05:45:00,94818.0,97365.0
1,2020-02-21 06:00:00,93919.0,96350.0
1,2020-02-21 06:15:00,94782.0,96774.0
1,2020-02-21 06:30:00,95340.0,97352.0
1,2020-02-21 06:45:00,94806.0,96474.0
1,2020-02-21 07:00:00,93831.0,95280.0
1,2020-02-21 07:15:00,94959.0,96826.0
1,2020-02-21 07:30:00,94378.0,96962.0
1,2020-02-21 07:45:00,93765.0,95913.0
1,2020-02-21 08:00:00,91595.0,94367.0
1,2020-02-21 08:15:00,84916.0,87778.0
1,2020-02-21 08:30:00,79838.0,76571.0
1,2020-02-21 08:45:00,63356.0,63591.0
1,2020-02-21 09:00:00,61339.0,59820.0
1,2020-02-21 09:15:00,61703.0,57826.0
1,2020-02-21 09:30:00,54382.0,51124.0
1,2020-02-21 09:45:00,50507.0,49676.0
1,2020-02-21 10:00:00,48957.0,48797.0
1,2020-02-21 10:15:00,47258.0,47142.0
1,2020-02-21 10:30:00,46590.0,45494.0
1,2020-02-21 10:45:00,48137.0,47150.0
1,2020-02-21 11:00:00,45918.0,45374.0
1,2020-02-21 11:15:00,41352.0,40732.0
1,2020-02-21 11:30:00,32342.0,31720.0
1,2020-02-21 11:45:00,36674.0,36009.0
1,2020-02-21 12:00:00,41766.0,40939.0
1,2020-02-21 12:15:00,41771.0,40974.0
1,2020-02-21 12:30:00,46978.0,46063.0
1,2020-02-21 12:45:00,41047.0,40164.0
1,2020-02-21 13:00:00,34203.0,33526.0
1,2020-02-21 13:15:00,30641.0,30701.0
1,2020-02-21 13:30:00,29062.0,28390.0
1,2020-02-21 13:45:00,36858.0,36130.0
1,2020-02-21 14:00:00,39922.0,39252.0
1,2020-02-21 14:15:00,36222.0,36051.0
1,2020-02-21 14:30:00,37802.0,37360.0
1,2020-02-21 14:45:00,33182.0,32463.0
1,2020-02-21 15:00:00,33368.0,32927.0
1,2020-02-21 15:15:00,39377.0,38848.0
1,2020-02-21 15:30:00,36342.0,35675.0
1,2020-02-21 15:45:00,33686.0,33064.0
1,2020-02-21 16:00:00,31070.0,30692.0
1,2020-02-21 16:15:00,36659.0,36012.0
1,2020-02-21 16:30:00,33604.0,33064.0
1,2020-02-21 16:45:00,31929.0,31448.0
1,2020-02-21 17:00:00,32236.0,31576.0
1,2020-02-21 17:15:00,35737.0,35199.0
1,2020-02-21 17:30:00,37570.0,36973.0
1,2020-02-21 17:45:00,37392.0,36611.0
1,2020-02-21 18:00:00,34025.0,33369.0
1,2020-02-21 18:15:00,38967.0,38190.0
1,2020-02-21 18:30:00,47217.0,46363.0
1,2020-02-21 18:45:00,54273.0,53277.0
1,2020-02-21 19:00:00,54384.0,53546.0
1,2020-02-21 19:15:00,61674.0,59942.0
1,2020-02-21 19:30:00,69429.0,68219.0
1,2020-02-21 19:45:00,78981.0,79030.0
1,2020-02-21 20:00:00,80177.0,78222.0
1,2020-02-21 20:15:00,76034.0,74615.0
1,2020-02-21 20:30:00,68183.0,67176.0
1,2020-02-21 20:45:00,70144.0,68512.0
1,2020-02-21 21:00:00,77511.0,76155.0
1,2020-02-21 21:15:00,77767.0,77190.0
1,2020-02-21 21:30:00,67749.0,66728.0
1,2020-02-21 21:45:00,69355.0,68074.0
1,2020-02-21 22:00:00,58259.0,57168.0
1,2020-02-21 22:15:00,50607.0,49646.0
1,2020-02-21 22:30:00,46377.0,45689.0
1,2020-02-21 22:45:00,57453.0,57111.0
1,2020-02-21 23:00:00,60347.0,58994.0
1,2020-02-21 23:15:00,64207.0,62842.0
1,2020-02-21 23:30:00,64694.0,62932.0
1,2020-02-21 23:45:00,62547.0,61529.0
